path,path_length,depth,num_parts,num_hidden,has_hidden,name_length,extension,extension_length,is_tmp,suspicious_score,size,probability,prediction,dangerous_flag
C:\Users\Ayan Daurenbek\Downloads\6b89aa74-b08d-4670-a622-dc829743e54b.pdf,74,4,5,0,0,40,pdf,3,0,0,42322,0.795,1,0
C:\Users\Ayan Daurenbek\Downloads\7b8e712c-2ce6-49b5-a272-a46082ba8810.pptx,75,4,5,0,0,41,pptx,4,0,0,32912,0.69,1,0
C:\Users\Ayan Daurenbek\Downloads\9.2.4-packet-tracer---identify-packet-flow.pka,80,4,5,0,0,46,pka,3,0,0,890771,0.78,1,0
C:\Users\Ayan Daurenbek\Downloads\Abaj-aelemine-sayahat-zhastar-kluby.pptx,74,4,5,0,0,40,pptx,4,0,0,19842887,0.795,1,0
C:\Users\Ayan Daurenbek\Downloads\Abaj-aelemine-sayahat-Zhastar-klubynyng-ruhani-zholy.pptx,91,4,5,0,0,57,pptx,4,0,0,6253095,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\actual.zip,44,4,5,0,0,10,zip,3,0,0,3349,0.81,1,0
C:\Users\Ayan Daurenbek\Downloads\Air-TicketYH8FF9_4652683229428.pdf,68,4,5,0,0,34,pdf,3,0,0,414216,0.705,1,0
C:\Users\Ayan Daurenbek\Downloads\ai_lab_assistant.zip,54,4,5,0,0,20,zip,3,0,0,179611,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\archive.zip,45,4,5,0,0,11,zip,3,0,0,1175548550,0.765,1,1
C:\Users\Ayan Daurenbek\Downloads\BleachBit-5.0.2-setup.exe,59,4,5,0,0,25,exe,3,0,1,16441064,0.995,1,1
C:\Users\Ayan Daurenbek\Downloads\bodmas.npz,44,4,5,0,0,10,npz,3,0,0,261557445,0.795,1,1
C:\Users\Ayan Daurenbek\Downloads\bodmas_malware_category.csv,61,4,5,0,0,27,csv,3,0,1,4119807,0.795,1,0
C:\Users\Ayan Daurenbek\Downloads\bodmas_metadata.csv,53,4,5,0,0,19,csv,3,0,0,12705748,0.735,1,0
C:\Users\Ayan Daurenbek\Downloads\business_xsd.zip,50,4,5,0,0,16,zip,3,0,0,5011,0.795,1,0
C:\Users\Ayan Daurenbek\Downloads\c15b34e4-220d-4a96-a49b-2bb5a5f64eaf.zip,74,4,5,0,0,40,zip,3,0,0,482641,0.82,1,0
"C:\Users\Ayan Daurenbek\Downloads\ChatGPT Image 17 дек. 2025 г., 13_16_25.png",77,4,5,0,0,43,png,3,0,0,1081296,0.81,1,0
"C:\Users\Ayan Daurenbek\Downloads\ChatGPT Image 21 нояб. 2025 г., 09_55_30.png",78,4,5,0,0,44,png,3,0,0,1505269,0.75,1,0
C:\Users\Ayan Daurenbek\Downloads\cheat-106-1-50-1652731646.zip,63,4,5,0,0,29,zip,3,0,0,128084,0.765,1,0
C:\Users\Ayan Daurenbek\Downloads\cheat-106-1-58-1732985419.zip,63,4,5,0,0,29,zip,3,0,0,143828,0.745,1,0
C:\Users\Ayan Daurenbek\Downloads\CiscoPacketTracer_900_win_64bit.exe,69,4,5,0,0,35,exe,3,0,1,300966272,0.99,1,1
C:\Users\Ayan Daurenbek\Downloads\clients.xlsx,46,4,5,0,0,12,xlsx,4,0,0,8811,0.735,1,0
C:\Users\Ayan Daurenbek\Downloads\Conference proceeding.pdf,59,4,5,0,0,25,pdf,3,0,0,12488471,0.795,1,0
C:\Users\Ayan Daurenbek\Downloads\CVE 05.08.2025.pdf,52,4,5,0,0,18,pdf,3,0,0,284619,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\CVE 05.09.2025.pdf,52,4,5,0,0,18,pdf,3,0,0,284619,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\CVE 10.10.2025.pdf,52,4,5,0,0,18,pdf,3,0,0,378680,0.79,1,0
C:\Users\Ayan Daurenbek\Downloads\CVE 15.08.2025.pdf,52,4,5,0,0,18,pdf,3,0,0,368410,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\CVE 15.09.2025.pdf,52,4,5,0,0,18,pdf,3,0,0,376078,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\CVE 17.10.2025.pdf,52,4,5,0,0,18,pdf,3,0,0,389371,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\CVE 22.08.2025.pdf,52,4,5,0,0,18,pdf,3,0,0,273258,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\CVE 29.09.2025.pdf,52,4,5,0,0,18,pdf,3,0,0,375919,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\d9dd9e9c567b7e60dbfe6f52f6d569da_original.131417.xsd,86,4,5,0,0,52,xsd,3,0,0,131417,0.79,1,0
C:\Users\Ayan Daurenbek\Downloads\Database.kdbx,47,4,5,0,0,13,kdbx,4,0,0,4391,0.765,1,0
C:\Users\Ayan Daurenbek\Downloads\Daurenbek Ayan.pdf,52,4,5,0,0,18,pdf,3,0,0,442426,0.755,1,0
C:\Users\Ayan Daurenbek\Downloads\Daurenbek+_Ayan_Spravka+dlya+predyavleniya+po+mestu+trebovaniya (1).pdf,105,4,5,0,0,71,pdf,3,0,0,47822,0.825,1,0
C:\Users\Ayan Daurenbek\Downloads\Daurenbek+_Ayan_Spravka+dlya+predyavleniya+po+mestu+trebovaniya.pdf,101,4,5,0,0,67,pdf,3,0,0,47827,0.84,1,0
C:\Users\Ayan Daurenbek\Downloads\deepseek_text_20251217_52c93e.txt,67,4,5,0,0,33,txt,3,0,0,24235,0.795,1,0
C:\Users\Ayan Daurenbek\Downloads\desktop.ini,45,4,5,0,0,11,ini,3,0,0,282,0.755,1,0
C:\Users\Ayan Daurenbek\Downloads\Detection (1nn5f).exe,55,4,5,0,0,21,exe,3,0,1,4692568,0.99,1,1
C:\Users\Ayan Daurenbek\Downloads\Detection (49wm4).exe,55,4,5,0,0,21,exe,3,0,1,4692056,0.99,1,1
C:\Users\Ayan Daurenbek\Downloads\Detection (st3yh).exe,55,4,5,0,0,21,exe,3,0,1,4692568,0.99,1,1
C:\Users\Ayan Daurenbek\Downloads\Detection (tvu).exe,53,4,5,0,0,19,exe,3,0,1,5095960,0.99,1,1
C:\Users\Ayan Daurenbek\Downloads\device_extension.Apache_ext.1758007025901.xml,79,4,5,0,0,45,xml,3,0,0,2115,0.73,1,0
C:\Users\Ayan Daurenbek\Downloads\DOC-20260216-WA0002.docx,58,4,5,0,0,24,docx,4,0,0,5908354,0.86,1,0
C:\Users\Ayan Daurenbek\Downloads\Docker Desktop Installer.exe,62,4,5,0,0,28,exe,3,0,1,599276976,1.0,1,1
C:\Users\Ayan Daurenbek\Downloads\document.pdf,46,4,5,0,0,12,pdf,3,0,0,47254,0.86,1,0
C:\Users\Ayan Daurenbek\Downloads\ember_dataset_2017_2.tar.bz2,62,4,5,0,0,28,bz2,3,0,0,1751237573,0.86,1,1
C:\Users\Ayan Daurenbek\Downloads\ember_dataset_2018_2.tar.bz2,62,4,5,0,0,28,bz2,3,0,0,1696539273,0.86,1,1
C:\Users\Ayan Daurenbek\Downloads\EpicInstaller-18.10.0.msi,59,4,5,0,0,25,msi,3,0,0,353619968,1.0,1,1
C:\Users\Ayan Daurenbek\Downloads\eshdi_astana_topology.pdf,59,4,5,0,0,25,pdf,3,0,0,58508,0.805,1,0
C:\Users\Ayan Daurenbek\Downloads\eshdi_karaganda_topology (1).pdf,66,4,5,0,0,32,pdf,3,0,0,58874,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\eshdi_karaganda_topology.pdf,62,4,5,0,0,28,pdf,3,0,0,58874,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\esp_detailed-main.zip,55,4,5,0,0,21,zip,3,0,0,13554,0.795,1,0
C:\Users\Ayan Daurenbek\Downloads\Excel_Report_20250828110429.xlsx,66,4,5,0,0,32,xlsx,4,0,0,5508,0.635,1,0
C:\Users\Ayan Daurenbek\Downloads\Excel_Report_20251029044017.xlsx,66,4,5,0,0,32,xlsx,4,0,0,72057,0.7,1,0
C:\Users\Ayan Daurenbek\Downloads\FFT[1].pdf,44,4,5,0,0,10,pdf,3,0,0,135613,0.775,1,0
C:\Users\Ayan Daurenbek\Downloads\Firefox Installer.exe,55,4,5,0,0,21,exe,3,0,1,383624,0.995,1,1
C:\Users\Ayan Daurenbek\Downloads\foundation-main.zip,53,4,5,0,0,19,zip,3,0,0,1960905,0.78,1,0
C:\Users\Ayan Daurenbek\Downloads\FWD_BCT_Payment_Notificaton_SWIFT_confirmation_Transfer_No_20251001134203001.rar,114,4,5,0,0,80,rar,3,0,0,31974,0.935,1,0
C:\Users\Ayan Daurenbek\Downloads\gbdfl_res.txt,47,4,5,0,0,13,txt,3,0,0,3657,0.745,1,0
C:\Users\Ayan Daurenbek\Downloads\gbdfl_res_extended.txt,56,4,5,0,0,22,txt,3,0,0,10226,0.74,1,0
C:\Users\Ayan Daurenbek\Downloads\gbdfl_res_merged.txt,54,4,5,0,0,20,txt,3,0,0,10646,0.74,1,0
C:\Users\Ayan Daurenbek\Downloads\Gemini_Generated_Image_6h9dqz6h9dqz6h9d.png,77,4,5,0,0,43,png,3,0,0,826712,0.81,1,0
C:\Users\Ayan Daurenbek\Downloads\Gemini_Generated_Image_tu8xu3tu8xu3tu8x.png,77,4,5,0,0,43,png,3,0,0,1895079,0.81,1,0
C:\Users\Ayan Daurenbek\Downloads\Ghost-of-Tsushima-DIRECTORS-CUT-by-Igruha.torrent,83,4,5,0,0,49,torrent,7,0,0,218809,0.805,1,0
C:\Users\Ayan Daurenbek\Downloads\iis.conf,42,4,5,0,0,8,conf,4,0,0,1408,0.775,1,0
C:\Users\Ayan Daurenbek\Downloads\image.jpg,43,4,5,0,0,9,jpg,3,0,0,1010054,0.755,1,0
C:\Users\Ayan Daurenbek\Downloads\KCD2_Item_List.rar,52,4,5,0,0,18,rar,3,0,0,287018,0.76,1,0
C:\Users\Ayan Daurenbek\Downloads\Kingdom-Come-Deliverance-II-by-Igruha.torrent,79,4,5,0,0,45,torrent,7,0,0,429310,0.83,1,0
C:\Users\Ayan Daurenbek\Downloads\Klient-server-bajlanysy.pptx,62,4,5,0,0,28,pptx,4,0,0,11619102,0.815,1,0
C:\Users\Ayan Daurenbek\Downloads\Lecture_in_Kv[1]-24-25.pdf,60,4,5,0,0,26,pdf,3,0,0,283035,0.81,1,0
C:\Users\Ayan Daurenbek\Downloads\Lecture_in_Kv[1].pdf,54,4,5,0,0,20,pdf,3,0,0,603054,0.775,1,0
C:\Users\Ayan Daurenbek\Downloads\Lr1 Report.docx,49,4,5,0,0,15,docx,4,0,0,17100,0.78,1,0
C:\Users\Ayan Daurenbek\Downloads\mount&blade_rus.rar,53,4,5,0,0,19,rar,3,0,0,25418404,0.76,1,0
C:\Users\Ayan Daurenbek\Downloads\mount&blade_rusifikator.7z,60,4,5,0,0,26,7z,2,0,0,934440,0.79,1,0
C:\Users\Ayan Daurenbek\Downloads\NCALayerInstall_x64.exe,57,4,5,0,0,23,exe,3,0,1,63341896,1.0,1,1
C:\Users\Ayan Daurenbek\Downloads\Osaldykhtardy-taldau-zhaene-veb-khosymshalardy-khorghau-aedisterin-salystyru.pptx,115,4,5,0,0,81,pptx,4,0,0,1827425,0.805,1,0
C:\Users\Ayan Daurenbek\Downloads\Perkaholic PTF-1009-1-2-3-1714642782.rar,74,4,5,0,0,40,rar,3,0,0,83620,0.745,1,0
C:\Users\Ayan Daurenbek\Downloads\protobuf-32.0.zip,51,4,5,0,0,17,zip,3,0,0,11559357,0.785,1,0
C:\Users\Ayan Daurenbek\Downloads\protoc-32.0-win64.zip,55,4,5,0,0,21,zip,3,0,0,3409217,0.81,1,0
C:\Users\Ayan Daurenbek\Downloads\qupiya_2.zip,46,4,5,0,0,12,zip,3,0,0,32065,0.79,1,0
C:\Users\Ayan Daurenbek\Downloads\REP_0013200_CIK_Connection_Attempt_to_ExtDNS_01_09_2025.xlsx,94,4,5,0,0,60,xlsx,4,0,0,7614,0.755,1,0
C:\Users\Ayan Daurenbek\Downloads\REP_0013200_CIK_Connection_Attempt_to_ExtDNS_02_09_2025.xlsx,94,4,5,0,0,60,xlsx,4,0,0,7415,0.755,1,0
C:\Users\Ayan Daurenbek\Downloads\REP_0013200_CIK_Connection_Attempt_to_ExtDNS_09_09_2025.xlsx,94,4,5,0,0,60,xlsx,4,0,0,7885,0.755,1,0
C:\Users\Ayan Daurenbek\Downloads\REP_0013200_CIK_Connection_Attempt_to_ExtDNS_11_08_2025.xlsx,94,4,5,0,0,60,xlsx,4,0,0,7332,0.755,1,0
C:\Users\Ayan Daurenbek\Downloads\REP_0013200_CIK_Connection_Attempt_to_ExtDNS_24_07_2025.xlsx,94,4,5,0,0,60,xlsx,4,0,0,9207,0.75,1,0
C:\Users\Ayan Daurenbek\Downloads\REP_0013200_CIK_Connection_Attempt_to_ExtDNS_27_08_2025.xlsx,94,4,5,0,0,60,xlsx,4,0,0,7508,0.76,1,0
C:\Users\Ayan Daurenbek\Downloads\REP_0013200_CIK_Connection_Attempt_to_ExtDNS_28_08_2025.xlsx,94,4,5,0,0,60,xlsx,4,0,0,7591,0.76,1,0
C:\Users\Ayan Daurenbek\Downloads\REP_0013200_CIK_Connection_Attempt_to_ExtDNS_29_08_2025.xlsx,94,4,5,0,0,60,xlsx,4,0,0,7324,0.76,1,0
C:\Users\Ayan Daurenbek\Downloads\REP_0013200_CIK_Connection_Attempt_to_ExtDNS_30_08_2025.xlsx,94,4,5,0,0,60,xlsx,4,0,0,7313,0.755,1,0
C:\Users\Ayan Daurenbek\Downloads\REP_0013200_CIK_Connection_Attempt_to_ExtDNS_31_08_2025.xlsx,94,4,5,0,0,60,xlsx,4,0,0,7144,0.755,1,0
C:\Users\Ayan Daurenbek\Downloads\request_sync (createRejected).xml,67,4,5,0,0,33,xml,3,0,0,1712,0.795,1,0
C:\Users\Ayan Daurenbek\Downloads\request_sync.xml,50,4,5,0,0,16,xml,3,0,0,1371,0.735,1,0
C:\Users\Ayan Daurenbek\Downloads\response_sync (createRejected).xml,68,4,5,0,0,34,xml,3,0,0,1137,0.79,1,0
C:\Users\Ayan Daurenbek\Downloads\response_sync.xml,51,4,5,0,0,17,xml,3,0,0,10590,0.74,1,0
C:\Users\Ayan Daurenbek\Downloads\scanned_file (1).pdf,54,4,5,0,0,20,pdf,3,0,0,3100415,0.74,1,0
C:\Users\Ayan Daurenbek\Downloads\scanned_file.pdf,50,4,5,0,0,16,pdf,3,0,0,3101273,0.74,1,0
C:\Users\Ayan Daurenbek\Downloads\scanned_file_merged (1).pdf,61,4,5,0,0,27,pdf,3,0,0,10654828,0.77,1,0
C:\Users\Ayan Daurenbek\Downloads\scanned_file_merged.pdf,57,4,5,0,0,23,pdf,3,0,0,10654337,0.78,1,0
C:\Users\Ayan Daurenbek\Downloads\Sinyak197.exe,47,4,5,0,0,13,exe,3,0,1,10078222,0.995,1,1
C:\Users\Ayan Daurenbek\Downloads\snippetbox-master.zip,55,4,5,0,0,21,zip,3,0,0,84328,0.79,1,0
C:\Users\Ayan Daurenbek\Downloads\Srednevekovaya_Evropa_Ot_padenia_Rima_do_Reformatsii_by_Uikkhem_Kris_Uikkhem_K__z-lib_org.pdf,127,4,5,0,0,93,pdf,3,0,0,23023852,0.835,1,0
C:\Users\Ayan Daurenbek\Downloads\SRO.pdf,41,4,5,0,0,7,pdf,3,0,0,53807,0.77,1,0
C:\Users\Ayan Daurenbek\Downloads\starladder-budapest-major-2025-furia-vs-imperial-dust2-UPHpNVQhYHsTggAcFMTqEl (1).rar,119,4,5,0,0,85,rar,3,0,0,308946562,0.835,1,1
C:\Users\Ayan Daurenbek\Downloads\task.zip,42,4,5,0,0,8,zip,3,0,0,1494,0.79,1,0
C:\Users\Ayan Daurenbek\Downloads\two_bit_input_ripple_carry_adder.circ,71,4,5,0,0,37,circ,4,0,0,9772,0.815,1,0
C:\Users\Ayan Daurenbek\Downloads\unwanted_file_detector.zip,60,4,5,0,0,26,zip,3,0,0,14134,0.825,1,0
C:\Users\Ayan Daurenbek\Downloads\utorrent_installer (1).exe,60,4,5,0,0,26,exe,3,0,1,3880328,1.0,1,1
C:\Users\Ayan Daurenbek\Downloads\utorrent_installer.exe,56,4,5,0,0,22,exe,3,0,1,1921832,1.0,1,1
C:\Users\Ayan Daurenbek\Downloads\watch.htm,43,4,5,0,0,9,htm,3,0,0,1369225,0.815,1,0
C:\Users\Ayan Daurenbek\Downloads\wine.zip,42,4,5,0,0,8,zip,3,0,0,6038,0.79,1,0
C:\Users\Ayan Daurenbek\Downloads\_gluster_2023_7_19_f2dd86744df2a37a03426e6bde738bf9_original.1131151.xlsx,107,4,5,0,0,73,xlsx,4,0,0,1131151,0.705,1,0
C:\Users\Ayan Daurenbek\Downloads\_________________________-______4_6_______.__________________________________________________________seed517192988.mp4,152,4,5,0,0,118,mp4,3,0,0,412061,0.65,1,0
C:\Users\Ayan Daurenbek\Downloads\«Интеллектуалды деректерді талдау арқылы корпоративтік жүйелердегі қалаусыз файлдарды анықтау» зертт.docx,139,4,5,0,0,105,docx,4,0,0,30756,0.86,1,0
C:\Users\Ayan Daurenbek\Downloads\аап (1).docx,46,4,5,0,0,12,docx,4,0,0,1201104,0.805,1,0
C:\Users\Ayan Daurenbek\Downloads\аап.docx,42,4,5,0,0,8,docx,4,0,0,1206959,0.83,1,0
C:\Users\Ayan Daurenbek\Downloads\Алгоритм Гровера.docx,55,4,5,0,0,21,docx,4,0,0,865237,0.81,1,0
C:\Users\Ayan Daurenbek\Downloads\Аналитическая_справка_за_сентябрь_месяц_2025_НЦГНТЭ.docx,90,4,5,0,0,56,docx,4,0,0,337681,0.875,1,0
C:\Users\Ayan Daurenbek\Downloads\аналитический_опросный_лист_нцгнтэ.docx,73,4,5,0,0,39,docx,4,0,0,79244,0.855,1,0
C:\Users\Ayan Daurenbek\Downloads\аол_ais.docx,46,4,5,0,0,12,docx,4,0,0,89770,0.81,1,0
C:\Users\Ayan Daurenbek\Downloads\аол_cik.docx,46,4,5,0,0,12,docx,4,0,0,71455,0.815,1,0
C:\Users\Ayan Daurenbek\Downloads\аол_etc.docx,46,4,5,0,0,12,docx,4,0,0,67851,0.815,1,0
C:\Users\Ayan Daurenbek\Downloads\аол_rgp.docx,46,4,5,0,0,12,docx,4,0,0,70891,0.815,1,0
"C:\Users\Ayan Daurenbek\Downloads\Арпабай Айтуар, МСИБ-21, 1 бөлім (1).pdf",74,4,5,0,0,40,pdf,3,0,0,1260326,0.79,1,0
"C:\Users\Ayan Daurenbek\Downloads\Арпабай Айтуар, МСИБ-21, 1 бөлім.pdf",70,4,5,0,0,36,pdf,3,0,0,1260326,0.79,1,0
"C:\Users\Ayan Daurenbek\Downloads\Арпабай Айтуар, МСИБ-21, 1 бөлім.pptx",71,4,5,0,0,37,pptx,4,0,0,598201,0.77,1,0
C:\Users\Ayan Daurenbek\Downloads\Архитектура системы «Секретная база клиентов» (анонимизация).docx,99,4,5,0,0,65,docx,4,0,0,19565,0.86,1,0
C:\Users\Ayan Daurenbek\Downloads\введ и 1глава kk.docx,55,4,5,0,0,21,docx,4,0,0,52656,0.825,1,0
C:\Users\Ayan Daurenbek\Downloads\Видео без названия — сделано в Clipchamp.mp4,78,4,5,0,0,44,mp4,3,0,0,14204181,0.74,1,0
C:\Users\Ayan Daurenbek\Downloads\Все по ШЭП.zip,48,4,5,0,0,14,zip,3,0,0,2352462,0.765,1,0
C:\Users\Ayan Daurenbek\Downloads\Гейт Адамара.docx,51,4,5,0,0,17,docx,4,0,0,289939,0.81,1,0
C:\Users\Ayan Daurenbek\Downloads\Дауренбек Аян Жарасканулы (2).pdf,67,4,5,0,0,33,pdf,3,0,0,443910,0.795,1,0
C:\Users\Ayan Daurenbek\Downloads\Дауренбек Аян МСИБ-21 1 практика.docx,71,4,5,0,0,37,docx,4,0,0,21557,0.855,1,0
C:\Users\Ayan Daurenbek\Downloads\ДИСС ПРЕЗЕНТАЦИЯ.pdf,54,4,5,0,0,20,pdf,3,0,0,1858420,0.755,1,0
C:\Users\Ayan Daurenbek\Downloads\Диссертация каз1.docx,55,4,5,0,0,21,docx,4,0,0,3948682,0.815,1,0
C:\Users\Ayan Daurenbek\Downloads\Диссертация.docx,50,4,5,0,0,16,docx,4,0,0,3910845,0.805,1,0
C:\Users\Ayan Daurenbek\Downloads\Дәуренбек Аян МСИБ-21 3 практика (1).docx,75,4,5,0,0,41,docx,4,0,0,27028,0.855,1,0
C:\Users\Ayan Daurenbek\Downloads\Дәуренбек Аян МСИБ-21 3 практика.docx,71,4,5,0,0,37,docx,4,0,0,306831,0.855,1,0
C:\Users\Ayan Daurenbek\Downloads\Дәуренбек Аян Отчет по стажке (1) (1).docx,76,4,5,0,0,42,docx,4,0,0,320979,0.855,1,0
C:\Users\Ayan Daurenbek\Downloads\Дәуренбек Аян Отчет по стажке (1).docx,72,4,5,0,0,38,docx,4,0,0,413808,0.855,1,0
C:\Users\Ayan Daurenbek\Downloads\Дәуренбек Аян Отчет по стажке.docx,68,4,5,0,0,34,docx,4,0,0,412229,0.855,1,0
"C:\Users\Ayan Daurenbek\Downloads\Дәуренбек Аян, отчет.pdf",58,4,5,0,0,24,pdf,3,0,0,7803113,0.785,1,0
C:\Users\Ayan Daurenbek\Downloads\инструкция_по_настройке_аудита_postgresql.pdf,79,4,5,0,0,45,pdf,3,0,0,77343,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\каз-2-6 (1).pdf,49,4,5,0,0,15,pdf,3,0,0,1416381,0.75,1,0
C:\Users\Ayan Daurenbek\Downloads\каз-2-6.pdf,45,4,5,0,0,11,pdf,3,0,0,250443,0.745,1,0
C:\Users\Ayan Daurenbek\Downloads\Конец Лоха.pdf,48,4,5,0,0,14,pdf,3,0,0,4055865,0.75,1,0
C:\Users\Ayan Daurenbek\Downloads\Лекция 11 УИБ (1).docx,56,4,5,0,0,22,docx,4,0,0,2833613,0.81,1,0
C:\Users\Ayan Daurenbek\Downloads\Лекция 11 УИБ.docx,52,4,5,0,0,18,docx,4,0,0,2833613,0.805,1,0
C:\Users\Ayan Daurenbek\Downloads\ЛЕкция-3.docx,47,4,5,0,0,13,docx,4,0,0,556978,0.805,1,0
C:\Users\Ayan Daurenbek\Downloads\Лекция_12_УИБ[1].docx,55,4,5,0,0,21,docx,4,0,0,939595,0.805,1,0
C:\Users\Ayan Daurenbek\Downloads\Лекция_6_10-12.docx,53,4,5,0,0,19,docx,4,0,0,711112,0.815,1,0
C:\Users\Ayan Daurenbek\Downloads\Магнитные карточки.pdf,56,4,5,0,0,22,pdf,3,0,0,21938,0.76,1,0
C:\Users\Ayan Daurenbek\Downloads\ол_cik.xlsx,45,4,5,0,0,11,xlsx,4,0,0,17763,0.73,1,0
C:\Users\Ayan Daurenbek\Downloads\ол_etc.xlsx,45,4,5,0,0,11,xlsx,4,0,0,16573,0.73,1,0
C:\Users\Ayan Daurenbek\Downloads\ол_rgp.xlsx,45,4,5,0,0,11,xlsx,4,0,0,17221,0.73,1,0
C:\Users\Ayan Daurenbek\Downloads\опросный_листок_нцгнтэ_(3).xlsx,65,4,5,0,0,31,xlsx,4,0,0,20447,0.775,1,0
C:\Users\Ayan Daurenbek\Downloads\Отчет МАГ на 3х языках.docx,61,4,5,0,0,27,docx,4,0,0,26351,0.855,1,0
C:\Users\Ayan Daurenbek\Downloads\Отчет_Гровер_n2.docx,54,4,5,0,0,20,docx,4,0,0,38433,0.825,1,0
