sha256,bodmas_timestamp_utc,first_seen_utc,dept,owner,source,path,path_depth,extension,size_kb,is_executable,has_macro,is_signed,entropy_est,av_detections,sensitivity,duplicate_of_sha256,retention_days,is_old_file,label
e17ae35c6c642498b6a77294ec500d8d5e9057d38c95f24539d3925f8fc93a9f,,2025-09-23T03:46:09+00:00,R&D,r&d_admin83,usb,\\\\fileserver\\R&D\\Policy_Update\\Reports\Reports\Drafts\budget_draft.xml,13,xml,3298,0,0,0,5.969,1,medium,,365,0,benign
e1d5b5a89fce4af6dcace44ebc2cd344851b0cfd24239937a231678d195c2a98,,2024-07-28T22:01:16+00:00,Legal,legal_analyst120,internal_share,C:\\Users\\legal\\Documents\\Policy_Update\\policy_2025.zip,10,zip,5587,0,0,0,5.406,2,low,,1095,0,benign
ea89e8bce7ca9691bc86f9d50c6a5e07be41b0d745503a9d85d8f7e22e2ec555,,2024-10-28T23:51:48+00:00,R&D,r&d_admin64,cloud_sync,\\\\fileserver\\R&D\\Research\\export_v1.png,10,png,1105,0,0,0,5.436,1,high,,30,0,confidential
c41536f8edf0c54fc5cdd40e66fdbb226371f4cbad32293ce62a2a5491e02048,,2024-02-04T08:39:27+00:00,Finance,finance_manager13,dev_repo,\\\\nas\\shares\\Finance\\Payroll\\export_revA.mp4,12,mp4,6183,0,0,0,5.206,2,low,,90,0,benign
04ea7d5be39b882037a7ac75bb08a4cd42d381ccf53dbc26da258fefd4080471,,2024-02-27T13:09:51+00:00,HR,hr_intern90,dev_repo,\\\\fileserver\\HR\\SOC_Playbooks\\Misc\plan_2025.pdf,11,pdf,1528,0,0,0,6.041,0,medium,,30,0,benign
4fabbce81cef9e116001251523b4a98f5cd9847524eb1d1417e6c93a71ca1b5a,,2025-12-06T21:14:06+00:00,Operations,operations_lawyer50,web_download,D:\\Work\\Operations\\Policy_Update\\Invoices\Reports\Scans\minutes_v2.png,11,png,1608,0,0,0,5.788,2,high,,1095,0,confidential
48730ad1daf46c04afed56c80f4a7bee7578686e3e06ad9b64e241e121390a04,2020-05-10T23:01:04+00:00,2024-01-14T12:39:42+00:00,Legal,legal_accountant103,email,\\\\fileserver\\Legal\\Q1_Reporting\\Temp\Contracts\Misc\Final\security_patch_final.bat,14,bat,3177,1,0,0,7.635,27,low,,180,0,malware_other
c7cc858be894e9c19128dcc6c24c79e409345a3c611b0827679fefb33cd19190,,2025-07-26T23:18:21+00:00,Marketing,marketing_assistant74,cloud_sync,\\\\nas\\shares\\Marketing\\Research\\scan_copy.mp4,12,mp4,13570,0,0,0,6.117,0,medium,,1095,0,benign
28fbc284e3fa84d7bfba9e5847acd8f01aee39f171ebe5dff4e050ee426e962f,,2024-06-21T17:00:04+00:00,Operations,operations_admin24,usb,\\\\nas\\shares\\Operations\\Tender\\Contracts\Reports\Temp\Reports\report_v2.zip,16,zip,4132,0,0,0,5.464,0,low,,1095,0,benign
3d9b8b7a1e80b30f297db8a6f8a68d35ad209578d8aa6d28cacc5727f07d2c58,,2025-03-16T06:07:47+00:00,Finance,finance_admin107,cloud_sync,\\\\fileserver\\Finance\\ClientData\\Temp\minutes_revA.png,11,png,703,0,0,0,6.145,2,low,,730,0,benign
04ef408fb9df9a01f98bbb6b0ac492c8eba6ab5cdce8f7f6c144f12cab43930f,,2024-01-14T12:35:17+00:00,Procurement,procurement_engineer54,web_download,\\\\fileserver\\Procurement\\CRM\\Scans\report_2025.json,11,json,1570,0,0,0,5.59,0,medium,,180,0,benign
aa23a8081d040f4d7f111352ef89000e6f49a9eb428e9cf3081fa191843a48f4,2020-01-06T22:01:54+00:00,2025-01-29T00:54:21+00:00,HR,hr_accountant88,web_download,D:\\Work\\HR\\Audit\\Contracts\Reports\Contracts\Invoices\setup_v2.js,12,js,30956,1,0,0,7.778,12,medium,,180,0,malware_dinwod
199659c6c72b30711577790a6e50f489c4bf1c1c3c9d19e184ecbf166fbd1c2b,,2024-07-15T11:40:14+00:00,Marketing,marketing_admin119,cloud_sync,\\\\nas\\shares\\Marketing\\SOC_Playbooks\\Archive\Misc\Final\Reports\notes_copy.txt,16,txt,4231,0,0,0,6.083,3,low,bccd0a8b03805ffd9b16dfcb11b6fc187c64f1d84e6396dbf7c49f7c6fb2f8f1,90,1,duplicate
38c9bead6e5771b37909eb6aa580eb27caa3c09c944cedc12f1bd04983da06fb,,2025-01-13T03:38:14+00:00,Operations,operations_manager120,cloud_sync,D:\\Work\\Operations\\ClientData\\Reports\Final\presentation_v2.zip,10,zip,4728,0,0,0,5.679,0,medium,,365,0,benign
1771baea10231638f398dc3e710152100818143096735de5d109e2a9f78f1b41,2020-06-30T19:49:12+00:00,2024-04-03T10:23:11+00:00,Procurement,procurement_lawyer14,cloud_sync,C:\\Users\\procurement\\Documents\\Tender\\update_v2.bat,10,bat,1165,1,0,0,7.524,16,low,,730,0,malware_other
55c72c5cd0fdc137ab111f2e0b149b4b2e35661269c8fc820d13990241021d1f,,2024-11-27T15:56:47+00:00,Sales,sales_intern61,internal_share,D:\\Work\\Sales\\CRM\\Contracts\Drafts\Reports\Reports\backup_signed.csv,12,csv,13699,0,0,0,5.556,1,low,,730,0,benign
b4757be4dbe96d187c084c8806417c5e78c9fa3b29ab67836eb2386d449e8409,,2025-06-03T06:59:20+00:00,HR,hr_admin46,cloud_sync,\\\\fileserver\\HR\\SOC_Playbooks\\minutes_new.mp4,10,mp4,19431,0,0,0,5.905,0,medium,6e4fd266d761add734f5c1c7d9f7f268dc6ab28564b84f243ef7e2a27c4fb1b2,365,0,duplicate
1285915d71a5cbb00e3a7bf77ca410ca8980bf9bbffba9793497430146b18375,2020-07-24T15:28:22+00:00,2024-04-29T23:33:59+00:00,Operations,operations_analyst61,dev_repo,C:\\Users\\operations\\Documents\\ClientData\\Reports\Reports\Temp\bank_statement_v1.docm,13,docm,2937,0,1,0,6.593,13,low,,30,0,malware_sillyp2p
1e445ef5e649989bcf1439dc7c9a7999df4722cfd71dd3fb529fa90c5a3defee,2020-08-05T15:01:15+00:00,2024-11-06T15:12:25+00:00,Security,security_assistant39,web_download,D:\\Work\\Security\\Payroll\\invoice_new.cmd,8,cmd,3491,1,0,0,6.897,18,low,,1095,0,malware_other
716a4965e0c4c310242c0afea919a32807350c7888018f156cd19e7ac19d0a70,,2024-10-12T00:37:05+00:00,IT,it_admin108,internal_share,\\\\fileserver\\IT\\Audit\\Reports\budget_draft.json,11,json,1413,0,0,0,5.553,1,low,,180,0,benign
f5edeb73566b2627e820dbb5a0c5d800ca1a99f560fe217249293feba153d9c0,,2025-12-06T00:34:29+00:00,Operations,operations_engineer119,internal_share,\\\\fileserver\\Operations\\ClientData\\Invoices\Archive\Contracts\Invoices\plan_new.png,14,png,801,0,0,0,6.182,2,low,,365,0,benign
5a865f04af7c75ba0c2283211f8be91eeefdc1ea7f0eca870e4fe39537c7e73f,,2024-05-25T02:42:44+00:00,Sales,sales_analyst39,cloud_sync,\\\\fileserver\\Sales\\Q1_Reporting\\Reports\Drafts\Invoices\Reports\presentation_v2.pptx,14,pptx,1991,0,0,0,5.552,0,medium,,30,0,benign
51c4e650430010872b1e3612b786e0424fa4ca5f938934f1b8679763f850406a,,2024-07-02T16:40:21+00:00,Sales,sales_lawyer78,web_download,\\\\nas\\shares\\Sales\\Tender\\Reports\invoice_revA.zip,13,zip,34546,0,0,0,5.213,0,high,,180,0,confidential
203d5699e1dea3499bf7994ea0967f2e794e3b8ff48d6828fb173d52c9f057f2,,2024-05-11T05:30:34+00:00,Procurement,procurement_intern10,web_download,\\\\fileserver\\Procurement\\Tender\\Invoices\Invoices\Misc\scan_v2.jpg,13,jpg,3388,0,0,0,5.676,2,medium,,90,0,benign
8bfb6fba04e0d50be3c42cc1d944afbf742306d2061da18a3ab179a0c53db64d,,2024-10-26T17:53:59+00:00,HR,hr_manager80,internal_share,\\\\fileserver\\HR\\Q1_Reporting\\Temp\Misc\Invoices\plan_revA.json,13,json,1371,0,0,0,5.135,0,high,,1095,0,confidential
a2dc63099b1c2cbeadf6f24cf5e099153b1ce3f23872f9894ba611fbe124c358,,2024-02-06T11:06:37+00:00,Marketing,marketing_assistant85,dev_repo,\\\\fileserver\\Marketing\\Audit\\report_2025.png,10,png,1702,0,0,0,5.885,2,low,,30,0,benign
886f91690678be728ecc010fd50ff06e05ba1becf2dbc3c026bebfe67bd2d1cf,,2025-01-03T09:59:11+00:00,Marketing,marketing_intern12,usb,\\\\fileserver\\Marketing\\ClientData\\Final\Contracts\report_copy.ps1,12,ps1,2713,1,0,0,7.452,2,low,,730,0,unauthorized
bd342ba6942e59928afd2af9b9292c11b5a272b36ff35748954d2b8cf16303bc,,2024-04-23T01:09:34+00:00,Finance,finance_analyst13,dev_repo,D:\\Work\\Finance\\Tender\\Temp\Drafts\Drafts\Reports\policy_final.7z,12,7z,3137,0,0,0,6.513,0,medium,,1095,0,benign
107c39dd4fb19f2b01965775ce73e01320c87b140020d4789997558cd9420222,,2024-09-13T07:06:29+00:00,IT,it_analyst110,email,D:\\Work\\IT\\Payroll\\Final\Temp\report_revA.xlsx,10,xlsx,3548,0,0,0,5.911,1,low,,90,0,benign
a1131455f5f55cc7df71afd4f608fc8e5c44cdb0c6a9bce91b737aa8840b8615,2020-06-17T06:01:05+00:00,2024-10-29T06:06:43+00:00,Procurement,procurement_engineer59,web_download,D:\\Work\\Procurement\\Research\\Archive\invoice_2025.bat,9,bat,4140,1,0,0,7.166,15,low,,180,0,malware_other
915915fdd57409c9529697159cdb7e97ee92ff923b4bb91d9c4c9893c38243c8,,2024-06-29T21:30:26+00:00,Legal,legal_manager43,dev_repo,\\\\nas\\shares\\Legal\\Research\\Reports\Scans\Archive\Misc\policy_copy.png,16,png,2269,0,0,0,6.224,1,low,,365,0,benign
ffc27163d0d38c6f649e11c714739988d8c2fe105374a665b8a52d361c705317,,2025-03-07T14:07:20+00:00,Legal,legal_assistant95,internal_share,\\\\nas\\shares\\Legal\\SOC_Playbooks\\budget_v2.scr,12,scr,2927,1,0,1,6.925,6,low,,30,0,pua
02610857ba730cc1b46e19138048de5f8004e81692fe2269db12cd8080d4e728,2020-01-31T21:57:29+00:00,2024-06-26T03:10:52+00:00,HR,hr_intern94,cloud_sync,C:\\Users\\hr\\Documents\\Audit\\Misc\Archive\bank_statement_new.scr,12,scr,4027,1,0,0,7.795,15,medium,,1095,0,malware_dinwod
d381ea880e377c3393a4dd412c11fefcee69f7538922980df6e76888cb57d5b4,,2024-04-15T23:07:14+00:00,R&D,r&d_lawyer119,web_download,D:\\Work\\R&D\\SOC_Playbooks\\Scans\Temp\contract_2024.7z,10,7z,1666,0,0,0,5.625,0,high,,30,0,confidential
3e79218ef455e0acbb4c2ff2faf34fc9b350aeb9ea7b9651a93f401f68506647,,2024-04-18T11:22:37+00:00,R&D,r&d_admin115,internal_share,D:\\Work\\R&D\\Policy_Update\\Misc\invoice_2024.json,9,json,1764,0,0,0,6.01,0,medium,,365,0,benign
90396d4970d04ee96374e63277faee4e8a0e5436604359df4402b5dea1550c33,,2024-01-13T02:10:40+00:00,R&D,r&d_accountant2,dev_repo,C:\\Users\\r&d\\Documents\\Tender\\Archive\Invoices\Invoices\Temp\scan_new.7z,14,7z,16766,0,0,0,5.807,0,low,,730,0,benign
528e7f38e1a98ecab3104365b4a957fbbd41207cb3574fc3731115a282bf35e7,,2025-02-06T22:33:57+00:00,HR,hr_manager42,cloud_sync,D:\\Work\\HR\\ClientData\\Temp\Contracts\report_copy.xml,10,xml,9654,0,0,0,5.743,0,medium,,30,0,benign
ab7297a66f28045f5d92b94976abdb4d2532397cbd35410f02ff798b1672ac34,,2025-07-03T15:24:46+00:00,IT,it_engineer59,usb,\\\\nas\\shares\\IT\\Research\\Invoices\Archive\plan_v1.zip,14,zip,4385,0,0,0,5.959,1,low,,730,0,benign
2f71f719eb4ff528f1d1fde3597043d2165d6dec8d216fd2bef70eda12781aca,,2024-07-07T20:19:16+00:00,IT,it_engineer97,email,\\\\nas\\shares\\IT\\ClientData\\Final\report_signed.7z,13,7z,19887,0,0,0,5.324,0,medium,,1095,0,benign
6ad40c878f5d9d19c6c05871af8ac31b7057d4feea1e70512af73a99c1655ba3,,2025-03-16T03:49:16+00:00,Marketing,marketing_engineer113,dev_repo,C:\\Users\\marketing\\Documents\\Q1_Reporting\\Contracts\Contracts\Final\Scans\presentation_copy.pptx,14,pptx,887,0,0,0,5.58,1,medium,,365,0,benign
3985ff1f6f31d62abdeec2cf955353d9b13e6a866ce21fbfeda08cb6a6cbd62f,,2025-07-08T02:49:09+00:00,Finance,finance_accountant21,usb,D:\\Work\\Finance\\Q1_Reporting\\Reports\Archive\Misc\Misc\notes_new.msi,12,msi,2072,1,0,1,5.907,2,medium,,30,0,unauthorized
4f9124fecba4bba27b6c9c73211e1afd4a3b35e8ba26ca52b3f8fa79fef0b644,,2024-06-05T05:48:54+00:00,HR,hr_lawyer112,internal_share,\\\\nas\\shares\\HR\\Audit\\Archive\Drafts\Final\export_draft.txt,15,txt,2540,0,0,0,6.214,1,medium,,730,0,benign
3ec080d88d0fd91b34828ab5049c96a8818dd0759d837a4ca1d6a44db33a2b21,,2025-01-26T16:10:58+00:00,Finance,finance_lawyer88,usb,\\\\nas\\shares\\Finance\\Research\\scan_signed.txt,12,txt,1767,0,0,0,6.278,1,medium,,90,0,benign
1c2d2f91c483113f33efe49d2a0852cbd3e5b5f1e599acbf730e3ed98fec1012,2020-06-06T22:54:14+00:00,2025-08-08T15:26:18+00:00,Legal,legal_assistant16,usb,D:\\Work\\Legal\\Payroll\\Misc\Invoices\Final\update_v1.pptm,11,pptm,3353,0,1,0,6.259,17,low,,730,0,malware_berbew
7b358226e2addc29f83ae3ab852a05458fe0f73a968f32102b973e36bfd73bc2,,2025-06-23T05:05:44+00:00,R&D,r&d_admin103,web_download,C:\\Users\\r&d\\Documents\\Payroll\\Final\contract_v2.docx,11,docx,1956,0,0,0,5.986,2,low,,1095,0,obsolete
eddc67358f9fd9fd1b5decca963c2398b912dcb542ba72ca66b21c61ea9f9c55,,2024-04-12T08:31:14+00:00,R&D,r&d_intern85,email,C:\\Users\\r&d\\Documents\\Q1_Reporting\\policy_v2.csv,10,csv,818,0,0,0,5.246,2,medium,,90,0,benign
a4c4c5430ff1945046b32a4f4131d03278a7d6053627fc667fbee402aeb044d4,2020-03-15T22:56:09+00:00,2025-02-12T12:31:21+00:00,HR,hr_assistant51,usb,D:\\Work\\HR\\ClientData\\Drafts\resume_2024.cmd,9,cmd,5079,1,0,0,6.554,13,low,,30,0,malware_wabot
fed3142732657eeca01bb0a8987511d7a349566b01956fc1a632c6fd7c5b799a,,2024-06-10T16:06:03+00:00,R&D,r&d_admin114,email,\\\\fileserver\\R&D\\Payroll\\Temp\invoice_copy.json,11,json,1553,0,0,0,5.535,1,low,,365,0,benign
0d1be649e0c23172daf70075992caacf933dff17a2044fdece21e17318eac12c,,2024-05-29T10:41:56+00:00,R&D,r&d_admin96,web_download,\\\\fileserver\\R&D\\ClientData\\Invoices\presentation_v2.pptx,11,pptx,2347,0,0,0,5.654,1,medium,,1095,0,benign
9916025e8e5a7f3767f5ac64c209d04a8e9678a04cfa68e62c0bd5a2ededccf4,2020-05-29T22:37:00+00:00,2024-06-29T21:11:52+00:00,Operations,operations_lawyer69,cloud_sync,D:\\Work\\Operations\\Tender\\Scans\Reports\security_patch_revA.cmd,10,cmd,5631,1,0,0,7.58,22,medium,,730,0,malware_other
c852b8958f6201d8621471ef5da9629a39c2c4436a8ad5b6fe31d7857dc77515,,2025-07-04T19:44:54+00:00,Procurement,procurement_admin34,email,C:\\Users\\procurement\\Documents\\Audit\\Contracts\Temp\Misc\backup_v2.xlsx,13,xlsx,2738,0,0,0,6.082,0,medium,,180,0,benign
218849e32b35850b701abdccee9b57e4417353a3666b21b3f915cfb1562c0918,2020-09-11T02:53:44+00:00,2024-08-31T22:20:53+00:00,Legal,legal_analyst112,usb,C:\\Users\\legal\\Documents\\CRM\\Temp\Misc\Invoices\Invoices\setup_revA.js,14,js,5032,1,0,0,7.342,13,low,,365,0,malware_wacatac
a59cde0c665c3a0469b6fac198d90abb0fc80754e111b406d48988104b176246,,2025-01-21T13:31:51+00:00,Procurement,procurement_engineer58,usb,\\\\fileserver\\Procurement\\CRM\\Reports\Contracts\Temp\Archive\export_v2.jpg,14,jpg,2079,0,0,0,6.065,0,medium,,365,0,benign
df4cde5d6b6bd55ffa1db0128e473ac59711b3e08ad3aa4ed3b987adcec35d81,,2025-08-28T13:49:28+00:00,HR,hr_intern59,web_download,\\\\fileserver\\HR\\Audit\\Drafts\Misc\Invoices\minutes_final.txt,13,txt,4517,0,0,0,6.14,1,medium,,365,0,benign
eec957c729650ff76fa5f0c601d3d6e5c3bed736a1d0fac0b31712e497573c5e,,2024-06-18T17:31:42+00:00,IT,it_lawyer120,email,\\\\nas\\shares\\IT\\Audit\\Reports\Misc\Invoices\backup_2024.zip,15,zip,6805,0,0,0,5.573,0,high,,30,0,confidential
c0a7fce9f5df8a99b4fece18b80432b9f8aa0b0233b507f3cf2e2881904f37a4,,2025-06-07T06:20:57+00:00,Legal,legal_intern112,cloud_sync,D:\\Work\\Legal\\Audit\\budget_new.txt,8,txt,995,0,0,0,5.935,1,medium,,1095,0,benign
487cb3eadc4f3b84f3997f1b3e2ebca6e253682833a7bdb24e239d0806f66e15,,2024-01-04T05:06:18+00:00,Marketing,marketing_intern41,internal_share,\\\\fileserver\\Marketing\\Tender\\Invoices\Scans\export_revA.mp4,12,mp4,23281,0,0,0,5.464,0,low,,730,0,benign
4d5454de2e19b80a22f9766b0906fced186440453458726199e3b0cee3e2dcd6,,2025-12-20T16:29:54+00:00,Security,security_lawyer58,email,D:\\Work\\Security\\Research\\Misc\Invoices\Contracts\Drafts\policy_v2.zip,12,zip,6450,0,0,0,5.788,2,medium,,365,0,benign
9e053d65fe663fe312f2dc5e16fd77dec8e9c6b8cfbc315f39e5c2a1af8424f0,,2025-06-07T00:46:00+00:00,Sales,sales_engineer110,usb,\\\\fileserver\\Sales\\Tender\\plan_draft.zip,10,zip,5281,0,0,0,6.132,0,medium,,180,0,benign
1ce3a50eaaeac812df41e2ad198c47290479a810fad61eacab5060cf570a8faf,,2025-06-15T07:02:06+00:00,Sales,sales_accountant120,web_download,\\\\fileserver\\Sales\\Research\\Contracts\Drafts\policy_new.json,12,json,1102,0,0,0,5.544,2,medium,,365,0,benign
6dc2df6d5d2628924dfc8cf3f628c019ccda8f91cdd4e59b9d406f4a1208185e,,2024-09-02T17:27:42+00:00,Sales,sales_manager64,email,D:\\Work\\Sales\\Migration\\contract_v1.docx,8,docx,486,0,0,0,5.469,1,medium,,180,0,benign
dff101afd3f5e4e239546b5f17d5d68a3e77a7c48efa64cfb78ec5cbfccef20b,,2025-07-31T19:01:58+00:00,Operations,operations_manager10,usb,\\\\nas\\shares\\Operations\\Tender\\Final\Scans\Reports\Contracts\presentation_2025.xlsx,16,xlsx,9551,0,0,0,5.531,0,medium,,365,0,benign
9a3a1e48ee4ebf3b875196f2c80696b89266d291e05564a747e8e627fd1962f9,,2024-09-27T09:39:02+00:00,Finance,finance_engineer69,usb,\\\\nas\\shares\\Finance\\Payroll\\Scans\Misc\invoice_2024.docx,14,docx,1374,0,0,0,5.379,0,medium,,1095,0,benign
3bccdc7e8c28d48d7b6a3df2d478cd35fde8c6285f68dcd1e497755a0d27460f,2019-09-01T22:15:14+00:00,2025-11-07T16:22:33+00:00,R&D,r&d_intern66,dev_repo,\\\\fileserver\\R&D\\SOC_Playbooks\\Misc\Archive\Contracts\Reports\bank_statement_revA.exe,14,exe,5410,1,0,0,7.544,13,medium,,365,0,malware_sillyp2p
aaa3ab8e367d687e8da1205f3f5c6c8bdccb0cf20d0b08c6db65f14e99bff1a6,2019-10-31T11:46:24+00:00,2024-04-29T12:17:57+00:00,Procurement,procurement_intern63,usb,C:\\Users\\procurement\\Documents\\Q1_Reporting\\Reports\Drafts\document_v2.xlsm,12,xlsm,1584,0,1,0,6.93,23,low,,365,0,malware_other
1942e4954794b3b9b265e9610c5cee98a2d8f54ec518f04db23a9c5076a10781,,2024-01-10T16:14:21+00:00,Finance,finance_manager19,web_download,D:\\Work\\Finance\\ClientData\\Final\minutes_v1.zip,9,zip,3748,0,0,0,6.497,0,medium,,730,0,benign
55d1ceed0fd3c4fb6632d552e7f158fda7e60564f852bf40c4bc337f074880c0,,2024-09-04T06:00:48+00:00,IT,it_manager51,internal_share,D:\\Work\\IT\\Audit\\Archive\Invoices\Misc\notes_signed.7z,11,7z,13975,0,0,0,5.457,0,low,,90,0,benign
8ebda7f6e5aa78ca815f73fdd402da5236292a90b0b0dc104aed2aa6a6e2e5c9,2020-06-10T22:59:40+00:00,2024-10-25T17:25:44+00:00,HR,hr_engineer56,cloud_sync,\\\\nas\\shares\\HR\\CRM\\Archive\Archive\Misc\Contracts\bank_statement_v2.msi,16,msi,8826,1,0,0,7.695,24,low,,90,0,malware_sfone
01d63331a8435732b6a6c56bb94b149658bf0858c31ac0ac5f4a9077109cb369,,2024-12-14T01:16:50+00:00,Operations,operations_assistant106,usb,\\\\fileserver\\Operations\\Payroll\\scan_revA.xlsx,10,xlsx,2972,0,0,0,5.744,3,medium,,30,0,benign
e64b27d0f038c62cc61ca18b9690eacad67a8b372103c9ae6ce06d8aa28437ef,,2024-09-19T20:35:11+00:00,IT,it_analyst14,cloud_sync,\\\\nas\\shares\\IT\\Migration\\Reports\Archive\Final\Reports\minutes_new.jpg,16,jpg,3036,0,0,0,5.929,1,high,,90,0,confidential
3c3274c19586f8778e21d4da9f7817dcafa8be22975b5a7f3945d0a9f6f32902,,2024-10-11T00:06:11+00:00,Procurement,procurement_intern63,usb,\\\\fileserver\\Procurement\\Q1_Reporting\\Invoices\Scans\Misc\Scans\policy_revA.txt,14,txt,1204,0,0,0,5.889,1,low,,180,0,benign
ed229f33975dc22bd212fdc793fe579d3b1c88c94e291f88e1e0beefcd5fcae5,,2025-12-16T08:11:56+00:00,Finance,finance_manager17,cloud_sync,\\\\nas\\shares\\Finance\\Research\\Archive\Archive\Drafts\export_draft.xlsx,15,xlsx,550,0,0,0,6.31,2,medium,,30,0,benign
85e92150ffafd95def80794b4f1f6d455069487107b9f5800165ae1ada2a83cf,,2024-12-20T04:22:02+00:00,Operations,operations_admin7,email,\\\\fileserver\\Operations\\Policy_Update\\Drafts\Temp\Invoices\Final\scan_2024.png,14,png,987,0,0,0,6.092,1,medium,,180,0,benign
299d64581fe0741849b86ef3bcfbab906e5ba6166f6275625279e26823ecf3cb,2020-07-21T22:58:52+00:00,2024-02-05T08:51:25+00:00,Sales,sales_lawyer58,cloud_sync,D:\\Work\\Sales\\Tender\\Misc\Drafts\Invoices\resume_v2.cmd,11,cmd,3708,1,0,1,7.89,16,low,,180,0,malware_wabot
dfaa625a721a883c9c0815d89662b5a35ea5dd19234214071d05af081350c1cf,,2025-04-23T17:19:26+00:00,Procurement,procurement_engineer45,web_download,C:\\Users\\procurement\\Documents\\Migration\\Invoices\minutes_revA.zip,11,zip,13356,0,0,0,6.383,1,medium,,90,0,unauthorized
09acc95135b858cf24586676d497c9267c3804f17d97f62a5f283f1a35dd0423,,2024-10-16T07:37:49+00:00,Sales,sales_assistant50,usb,D:\\Work\\Sales\\CRM\\Temp\contract_signed.jpg,9,jpg,4131,0,0,0,5.426,0,low,,365,0,benign
f8c06a2852b789d7f4a1e95a2e933573e64701b2e2f80fc1539a41f3ff10fc5a,,2025-04-20T22:33:44+00:00,Finance,finance_engineer67,email,\\\\fileserver\\Finance\\Payroll\\Drafts\policy_2025.7z,11,7z,2427,0,0,0,5.833,1,medium,,30,0,benign
f5d974afc87a3a3f3c6800f9646523b32a49742f08d1471dbf925cf59b07bcee,,2025-09-09T06:29:38+00:00,HR,hr_lawyer65,web_download,D:\\Work\\HR\\Research\\Archive\Final\Invoices\policy_2024.pdf,11,pdf,1683,0,0,0,6.437,1,low,,1095,0,unauthorized
6bdfffb52686b840155e3a801f15ba93e01b3bb132b07169d5b464f7bbdc5dad,,2024-10-21T18:29:31+00:00,Operations,operations_engineer78,internal_share,D:\\Work\\Operations\\ClientData\\Temp\budget_copy.png,9,png,919,0,0,0,5.755,4,low,,730,0,benign
